B1_armA_a0.38_x20_r08,380.8
B1_armA_a0.38_x24_r08,380.3
B1_armA_a0.45_x04_r08,366.4
B1_armA_a0.45_x08_r08,363.8
B1_armA_a0.45_x12_r08,363.3
B1_armA_a0.45_x16_r08,371.0
B1_armA_a0.45_x20_r08,371.1
B1_armA_a0.45_x24_r08,372.1
B1_armA_a0.55_x04_r08,354.1
B1_armA_a0.55_x08_r08,354.2
B1_armA_a0.55_x12_r08,352.5
B1_armA_a0.55_x16_r08,355.4
B1_armA_a0.55_x20_r08,355.1
B1_armA_a0.55_x24_r08,355.9
B1_armA_a0.30_x04_r09,397.1
B1_armA_a0.30_x08_r09,398.6
B1_armA_a0.30_x12_r09,400.8
B1_armA_a0.30_x16_r09,392.4
B1_armA_a0.30_x20_r09,393.5
B1_armA_a0.30_x24_r09,394.4
B1_armA_a0.38_x04_r09,378.5
B1_armA_a0.38_x08_r09,377.3
B1_armA_a0.38_x12_r09,373.5
B1_armA_a0.38_x16_r09,378.8
B1_armA_a0.38_x20_r09,377.7
B1_armA_a0.38_x24_r09,379.9
B1_armA_a0.45_x04_r09,372.4
B1_armA_a0.45_x08_r09,372.2
B1_armA_a0.45_x12_r09,370.9
B1_armA_a0.45_x16_r09,365.4
B1_armA_a0.45_x20_r09,365.5
B1_armA_a0.45_x24_r09,368.0
B1_armA_a0.55_x04_r09,355.4
B1_armA_a0.55_x08_r09,355.3
B1_armA_a0.55_x12_r09,352.5
B1_armA_a0.55_x16_r09,351.8
B1_armA_a0.55_x20_r09,350.1
B1_armA_a0.55_x24_r09,350.9
B1_armA_a0.30_x04_r10,392.2
B1_armA_a0.30_x08_r10,395.1
B1_armA_a0.30_x12_r10,397.0
B1_armA_a0.30_x16_r10,395.4
B1_armA_a0.30_x20_r10,396.1
B1_armA_a0.30_x24_r10,395.5
B1_armA_a0.38_x04_r10,389.0
B1_armA_a0.38_x08_r10,388.6
B1_armA_a0.38_x12_r10,388.7
B1_armA_a0.38_x16_r10,375.1
B1_armA_a0.38_x20_r10,374.4
B1_armA_a0.38_x24_r10,373.1
B1_armA_a0.45_x04_r10,369.8
B1_armA_a0.45_x08_r10,370.4
B1_armA_a0.45_x12_r10,371.4
B1_armA_a0.45_x16_r10,367.9
B1_armA_a0.45_x20_r10,365.1
B1_armA_a0.45_x24_r10,365.9
B1_armA_a0.55_x04_r10,361.5
B1_armA_a0.55_x08_r10,363.1
B1_armA_a0.55_x12_r10,360.9
B1_armA_a0.55_x16_r10,359.5
B1_armA_a0.55_x20_r10,358.2
B1_armA_a0.55_x24_r10,358.8
