256 episodes, 256 to run
[156/256] B3c_c590_a0.30_x14_r01 368s ETA 3.1h
[157/256] B3c_c1013_a0.30_x14_r01 369s ETA 3.1h
[158/256] B3c_c832_a0.30_x14_r01 394s ETA 3.1h
[159/256] B3c_c1146_a0.30_x14_r01 370s ETA 3.0h
[160/256] B3c_c1151_a0.30_x14_r01 341s ETA 3.0h
[161/256] B3c_c97_a0.30_x18_r01 341s ETA 3.0h
[162/256] B3c_c184_a0.30_x18_r01 341s ETA 2.9h
[163/256] B3c_c590_a0.30_x18_r01 349s ETA 2.9h
[164/256] B3c_c656_a0.30_x18_r01 364s ETA 2.9h
[165/256] B3c_c832_a0.30_x18_r01 372s ETA 2.8h
[166/256] B3c_c1013_a0.30_x18_r01 355s ETA 2.9h
[167/256] B3c_c1146_a0.30_x18_r01 357s ETA 2.8h
[168/256] B3c_c1151_a0.30_x18_r01 355s ETA 2.8h
[169/256] B3c_c97_a0.30_x22_r01 352s ETA 2.8h
[170/256] B3c_c590_a0.30_x22_r01 351s ETA 2.7h
[171/256] B3c_c184_a0.30_x22_r01 357s ETA 2.7h
[172/256] B3c_c656_a0.30_x22_r01 370s ETA 2.7h
[173/256] B3c_c1013_a0.30_x22_r01 370s ETA 2.6h
[174/256] B3c_c832_a0.30_x22_r01 371s ETA 2.6h
[175/256] B3c_c97_a0.30_x26_r01 337s ETA 2.6h
[176/256] B3c_c1151_a0.30_x22_r01 341s ETA 2.5h
[177/256] B3c_c1146_a0.30_x22_r01 365s ETA 2.5h
[178/256] B3c_c656_a0.30_x26_r01 335s ETA 2.5h
[179/256] B3c_c590_a0.30_x26_r01 358s ETA 2.4h
[180/256] B3c_c184_a0.30_x26_r01 363s ETA 2.4h
[181/256] B3c_c1013_a0.30_x26_r01 350s ETA 2.4h
[182/256] B3c_c832_a0.30_x26_r01 393s ETA 2.3h
[183/256] B3c_c1146_a0.30_x26_r01 381s ETA 2.3h
[184/256] B3c_c97_a0.30_x30_r01 336s ETA 2.3h
[185/256] B3c_c1151_a0.30_x26_r01 375s ETA 2.2h
[186/256] B3c_c184_a0.30_x30_r01 359s ETA 2.2h
[187/256] B3c_c590_a0.30_x30_r01 381s ETA 2.2h
[188/256] B3c_c656_a0.30_x30_r01 369s ETA 2.2h
[189/256] B3c_c832_a0.30_x30_r01 375s ETA 2.1h
[190/256] B3c_c1013_a0.30_x30_r01 370s ETA 2.1h
[191/256] B3c_c1146_a0.30_x30_r01 366s ETA 2.1h
[192/256] B3c_c1151_a0.30_x30_r01 366s ETA 2.0h
[193/256] B3c_c97_a0.55_x02_r01 304s ETA 2.0h
[194/256] B3c_c184_a0.55_x02_r01 301s ETA 2.0h
[195/256] B3c_c590_a0.55_x02_r01 300s ETA 1.9h
[196/256] B3c_c656_a0.55_x02_r01 312s ETA 1.9h
[197/256] B3c_c832_a0.55_x02_r01 326s ETA 1.9h
[198/256] B3c_c1013_a0.55_x02_r01 316s ETA 1.8h
[199/256] B3c_c1146_a0.55_x02_r01 289s ETA 1.8h
[200/256] B3c_c1151_a0.55_x02_r01 285s ETA 1.8h
[201/256] B3c_c97_a0.55_x06_r01 286s ETA 1.7h
[202/256] B3c_c184_a0.55_x06_r01 308s ETA 1.7h
[203/256] B3c_c590_a0.55_x06_r01 310s ETA 1.7h
[204/256] B3c_c656_a0.55_x06_r01 311s ETA 1.6h
[205/256] B3c_c832_a0.55_x06_r01 313s ETA 1.6h
[206/256] B3c_c1013_a0.55_x06_r01 313s ETA 1.6h
[207/256] B3c_c1146_a0.55_x06_r01 312s ETA 1.5h
[208/256] B3c_c1151_a0.55_x06_r01 286s ETA 1.5h
[209/256] B3c_c97_a0.55_x10_r01 285s ETA 1.5h
[210/256] B3c_c184_a0.55_x10_r01 286s ETA 1.4h
[211/256] B3c_c590_a0.55_x10_r01 312s ETA 1.4h
[212/256] B3c_c656_a0.55_x10_r01 313s ETA 1.4h
[213/256] B3c_c832_a0.55_x10_r01 315s ETA 1.3h
[214/256] B3c_c1013_a0.55_x10_r01 302s ETA 1.3h
[215/256] B3c_c1146_a0.55_x10_r01 302s ETA 1.3h
[216/256] B3c_c1151_a0.55_x10_r01 299s ETA 1.2h
[217/256] B3c_c97_a0.55_x14_r01 299s ETA 1.2h
[218/256] B3c_c184_a0.55_x14_r01 299s ETA 1.2h
[219/256] B3c_c590_a0.55_x14_r01 301s ETA 1.2h
[220/256] B3c_c656_a0.55_x14_r01 319s ETA 1.1h
[221/256] B3c_c832_a0.55_x14_r01 320s ETA 1.1h
[222/256] B3c_c1013_a0.55_x14_r01 320s ETA 1.1h
[223/256] B3c_c1146_a0.55_x14_r01 301s ETA 1.0h
[224/256] B3c_c1151_a0.55_x14_r01 298s ETA 1.0h
[225/256] B3c_c97_a0.55_x18_r01 299s ETA 1.0h
[226/256] B3c_c184_a0.55_x18_r01 307s ETA 0.9h
[227/256] B3c_c590_a0.55_x18_r01 309s ETA 0.9h
[228/256] B3c_c656_a0.55_x18_r01 306s ETA 0.9h
[229/256] B3c_c832_a0.55_x18_r01 314s ETA 0.8h
[230/256] B3c_c1013_a0.55_x18_r01 314s ETA 0.8h
[231/256] B3c_c1146_a0.55_x18_r01 314s ETA 0.8h
[232/256] B3c_c1151_a0.55_x18_r01 294s ETA 0.7h
[233/256] B3c_c97_a0.55_x22_r01 294s ETA 0.7h
[234/256] B3c_c184_a0.55_x22_r01 292s ETA 0.7h
[235/256] B3c_c590_a0.55_x22_r01 310s ETA 0.7h
[236/256] B3c_c656_a0.55_x22_r01 309s ETA 0.6h
[237/256] B3c_c832_a0.55_x22_r01 313s ETA 0.6h
[238/256] B3c_c1013_a0.55_x22_r01 303s ETA 0.6h
[239/256] B3c_c1146_a0.55_x22_r01 303s ETA 0.5h
[240/256] B3c_c1151_a0.55_x22_r01 302s ETA 0.5h
[241/256] B3c_c97_a0.55_x26_r01 298s ETA 0.5h
[242/256] B3c_c184_a0.55_x26_r01 299s ETA 0.4h
[243/256] B3c_c590_a0.55_x26_r01 300s ETA 0.4h
[244/256] B3c_c656_a0.55_x26_r01 317s ETA 0.4h
[245/256] B3c_c832_a0.55_x26_r01 318s ETA 0.3h
[246/256] B3c_c1013_a0.55_x26_r01 316s ETA 0.3h
[247/256] B3c_c1146_a0.55_x26_r01 303s ETA 0.3h
[248/256] B3c_c1151_a0.55_x26_r01 301s ETA 0.2h
[249/256] B3c_c97_a0.55_x30_r01 300s ETA 0.2h
[250/256] B3c_c184_a0.55_x30_r01 299s ETA 0.2h
[251/256] B3c_c590_a0.55_x30_r01 300s ETA 0.2h
[252/256] B3c_c656_a0.55_x30_r01 301s ETA 0.1h
[253/256] B3c_c832_a0.55_x30_r01 318s ETA 0.1h
[254/256] B3c_c1013_a0.55_x30_r01 318s ETA 0.1h
[255/256] B3c_c1146_a0.55_x30_r01 315s ETA 0.0h
[256/256] B3c_c1151_a0.55_x30_r01 616s ETA 0.0h
done in 8.01h
