delta,model,family,bin_lo,bin_hi,n,k,q,ci_lo,ci_hi
0.1,gma,random,0.7000000000000001,0.8,50,47,0.94,0.8378265662912299,0.9793854036353695
0.1,gma,random,0.8,0.9,53,47,0.8867924528301887,0.7742322969866086,0.9470704108893132
0.1,gma,random,0.9,1.0,479,471,0.9832985386221295,0.9673931520822511,0.9915134541422334
0.1,gma,square,0.0,0.1,59,9,0.15254237288135594,0.08238371089067363,0.26518223268810226
0.1,gma,square,0.1,0.2,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
0.1,gma,square,0.2,0.30000000000000004,3,3,1.0,0.43849391955098227,1.0
0.1,gma,square,0.30000000000000004,0.4,0,0,,,
0.1,gma,square,0.4,0.5,5,4,0.8,0.3755282641185388,0.9637768390302125
0.1,gma,square,0.5,0.6000000000000001,7,7,1.0,0.6456611570247934,1.0
0.1,gma,square,0.6000000000000001,0.7000000000000001,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253
0.1,gma,square,0.7000000000000001,0.8,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831
0.1,gma,square,0.8,0.9,7,7,1.0,0.6456611570247934,1.0
0.1,gma,square,0.9,1.0,60,60,1.0,0.9398260695220669,0.9999999999999999
0.1,gma,triangular,0.0,0.1,60,12,0.2,0.11828389736858964,0.3178204609181701
0.1,gma,triangular,0.1,0.2,6,2,0.3333333333333333,0.09676933255921683,0.7000116786584712
0.1,gma,triangular,0.2,0.30000000000000004,2,2,1.0,0.34237195288961925,1.0
0.1,gma,triangular,0.30000000000000004,0.4,0,0,,,
0.1,gma,triangular,0.4,0.5,3,3,1.0,0.43849391955098227,1.0
0.1,gma,triangular,0.5,0.6000000000000001,14,13,0.9285714285714286,0.6853073044604219,0.9872781138877085
0.1,gma,triangular,0.6000000000000001,0.7000000000000001,2,2,1.0,0.34237195288961925,1.0
0.1,gma,triangular,0.7000000000000001,0.8,8,8,1.0,0.6755843804891231,1.0
0.1,gma,triangular,0.8,0.9,5,5,1.0,0.5655085052479191,1.0000000000000002
0.1,gma,triangular,0.9,1.0,60,60,1.0,0.9398260695220669,0.9999999999999999
0.1,qwn,random,0.0,0.1,37,7,0.1891891891891892,0.09479858757337126,0.342050115709556
0.1,qwn,random,0.1,0.2,26,24,0.9230769230769231,0.7585805251948495,0.9786453608166245
0.1,qwn,random,0.2,0.30000000000000004,39,34,0.8717948717948718,0.7329395096236953,0.9439726505197168
0.1,qwn,random,0.30000000000000004,0.4,93,68,0.7311827956989247,0.6332358773962905,0.8107881783813919
0.1,qwn,random,0.4,0.5,226,157,0.6946902654867256,0.6318074885726104,0.7510648896217633
0.1,qwn,random,0.5,0.6000000000000001,337,255,0.7566765578635015,0.7081377674228748,0.7994293840046505
0.1,qwn,random,0.6000000000000001,0.7000000000000001,180,147,0.8166666666666667,0.7537252847530411,0.8663737570307555
0.1,qwn,random,0.7000000000000001,0.8,162,150,0.9259259259259259,0.8749973485222495,0.9571219749768003
0.1,qwn,random,0.8,0.9,100,97,0.97,0.915479219195973,0.9897456617765851
0.1,qwn,random,0.9,1.0,80,80,1.0,0.954180263735425,1.0
0.1,qwn,square,0.0,0.1,5,1,0.2,0.03622316096978745,0.6244717358814613
0.1,qwn,square,0.1,0.2,4,4,1.0,0.5100999795960008,1.0
0.1,qwn,square,0.2,0.30000000000000004,5,5,1.0,0.5655085052479191,1.0000000000000002
0.1,qwn,square,0.30000000000000004,0.4,10,6,0.6,0.3126695474501864,0.8318224187964902
0.1,qwn,square,0.4,0.5,25,16,0.64,0.44518154601046633,0.7975234356826436
0.1,qwn,square,0.5,0.6000000000000001,47,34,0.723404255319149,0.5824116429931004,0.8306359400884707
0.1,qwn,square,0.6000000000000001,0.7000000000000001,25,22,0.88,0.7004380781662651,0.9583325864293191
0.1,qwn,square,0.7000000000000001,0.8,18,17,0.9444444444444444,0.7424220019799247,0.9901250641690756
0.1,qwn,square,0.8,0.9,11,10,0.9090909090909091,0.6226353745137962,0.9837682477371741
0.1,qwn,square,0.9,1.0,10,10,1.0,0.7224598312333834,1.0
0.1,qwn,triangular,0.0,0.1,4,1,0.25,0.045586062644636216,0.6993639475573634
0.1,qwn,triangular,0.1,0.2,5,4,0.8,0.3755282641185388,0.9637768390302125
0.1,qwn,triangular,0.2,0.30000000000000004,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253
0.1,qwn,triangular,0.30000000000000004,0.4,10,8,0.8,0.49015684672072335,0.9433190520193067
0.1,qwn,triangular,0.4,0.5,26,18,0.6923076923076923,0.5001138848576876,0.8349887906020732
0.1,qwn,triangular,0.5,0.6000000000000001,45,33,0.7333333333333333,0.5896088330282471,0.8403525113994538
0.1,qwn,triangular,0.6000000000000001,0.7000000000000001,17,16,0.9411764705882353,0.730174547964372,0.9895398693548358
0.1,qwn,triangular,0.7000000000000001,0.8,21,18,0.8571428571428571,0.6536350585077049,0.950190782017865
0.1,qwn,triangular,0.8,0.9,16,15,0.9375,0.7167073163197013,0.9888809426916687
0.1,qwn,triangular,0.9,1.0,9,9,1.0,0.7008472464490407,1.0
0.1,lma,random,0.0,0.1,147,12,0.08163265306122448,0.0473118318079133,0.137263245624307
0.1,lma,random,0.1,0.2,191,18,0.09424083769633508,0.06044392257152551,0.14403807716569691
0.1,lma,random,0.2,0.30000000000000004,122,19,0.1557377049180328,0.10202654859821357,0.23046763456538255
0.1,lma,random,0.30000000000000004,0.4,134,40,0.29850746268656714,0.22752361778533114,0.3807223689124437
0.1,lma,random,0.4,0.5,147,75,0.5102040816326531,0.43016726976996955,0.5897211429755861
0.1,lma,random,0.5,0.6000000000000001,156,95,0.6089743589743589,0.5306592105723498,0.682051372905293
0.1,lma,random,0.6000000000000001,0.7000000000000001,115,87,0.7565217391304347,0.6706216825244925,0.8258374698261993
0.1,lma,random,0.7000000000000001,0.8,84,75,0.8928571428571429,0.8087519975771198,0.9426004368047676
0.1,lma,random,0.8,0.9,46,45,0.9782608695652174,0.8866444550566697,0.9961522448887572
0.1,lma,random,0.9,1.0,138,138,1.0,0.9729162671599869,1.0
0.1,lma,square,0.0,0.1,21,1,0.047619047619047616,0.008455769471923294,0.22669816586235464
0.1,lma,square,0.1,0.2,17,2,0.11764705882352941,0.03287908001292092,0.3433684249770991
0.1,lma,square,0.2,0.30000000000000004,17,0,0.0,0.0,0.18432366037156456
0.1,lma,square,0.30000000000000004,0.4,19,6,0.3157894736842105,0.15364171004428598,0.5398998982493537
0.1,lma,square,0.4,0.5,17,4,0.23529411764705882,0.0955488907167594,0.47262245889171595
0.1,lma,square,0.5,0.6000000000000001,20,9,0.45,0.25819502085709295,0.6579179916924003
0.1,lma,square,0.6000000000000001,0.7000000000000001,17,14,0.8235294117647058,0.5897007098262422,0.9380898628745101
0.1,lma,square,0.7000000000000001,0.8,11,10,0.9090909090909091,0.6226353745137962,0.9837682477371741
0.1,lma,square,0.8,0.9,4,4,1.0,0.5100999795960008,1.0
0.1,lma,square,0.9,1.0,17,17,1.0,0.8156763396284354,1.0
0.1,lma,triangular,0.0,0.1,22,2,0.09090909090909091,0.025294896282837792,0.2781538065838578
0.1,lma,triangular,0.1,0.2,20,1,0.05,0.008881219432873136,0.23613589351256675
0.1,lma,triangular,0.2,0.30000000000000004,16,0,0.0,0.0,0.19361341827271994
0.1,lma,triangular,0.30000000000000004,0.4,18,4,0.2222222222222222,0.09000781913382,0.4521502645230549
0.1,lma,triangular,0.4,0.5,15,8,0.5333333333333333,0.3011663015105079,0.7519077474025355
0.1,lma,triangular,0.5,0.6000000000000001,22,19,0.8636363636363636,0.6666458812053,0.9525108273576373
0.1,lma,triangular,0.6000000000000001,0.7000000000000001,17,11,0.6470588235294118,0.4129996672121182,0.826905138560951
0.1,lma,triangular,0.7000000000000001,0.8,8,6,0.75,0.40926987910258916,0.9285223111419724
0.1,lma,triangular,0.8,0.9,5,5,1.0,0.5655085052479191,1.0000000000000002
0.1,lma,triangular,0.9,1.0,17,17,1.0,0.8156763396284354,1.0
0.2,gpt,random,0.0,0.1,0,0,,,
0.2,gpt,random,0.1,0.2,2,0,0.0,0.0,0.6576280471103807
0.2,gpt,random,0.2,0.30000000000000004,32,4,0.125,0.04970053844474301,0.2806864978482796
0.2,gpt,random,0.30000000000000004,0.4,186,54,0.2903225806451613,0.22985624478764421,0.3592749045494875
0.2,gpt,random,0.4,0.5,386,123,0.31865284974093266,0.27415076447241654,0.36672901849584555
0.2,gpt,random,0.5,0.6000000000000001,499,216,0.43286573146292584,0.3900683942182913,0.47668885100565195
0.2,gpt,random,0.6000000000000001,0.7000000000000001,147,86,0.5850340136054422,0.504207838271765,0.661528934607865
0.2,gpt,random,0.7000000000000001,0.8,26,20,0.7692307692307693,0.5794807424804321,0.8896630031632332
0.2,gpt,random,0.8,0.9,2,2,1.0,0.34237195288961925,1.0
0.2,gpt,random,0.9,1.0,0,0,,,
0.2,gpt,square,0.0,0.1,0,0,,,
0.2,gpt,square,0.1,0.2,0,0,,,
0.2,gpt,square,0.2,0.30000000000000004,5,3,0.6,0.23071993220883708,0.8823817688407467
0.2,gpt,square,0.30000000000000004,0.4,17,4,0.23529411764705882,0.0955488907167594,0.47262245889171595
0.2,gpt,square,0.4,0.5,45,14,0.3111111111111111,0.19528525463541907,0.4566507998754897
