delta,model,family,bin_lo,bin_hi,n,k,q,ci_lo,ci_hi
0.2,gma,triangular,0.7000000000000001,0.8,8,8,1.0,0.6755843804891231,1.0
0.2,gma,triangular,0.8,0.9,5,5,1.0,0.5655085052479191,1.0000000000000002
0.2,gma,triangular,0.9,1.0,60,60,1.0,0.9398260695220669,0.9999999999999999
0.2,qwn,random,0.0,0.1,37,7,0.1891891891891892,0.09479858757337126,0.342050115709556
0.2,qwn,random,0.1,0.2,26,24,0.9230769230769231,0.7585805251948495,0.9786453608166245
0.2,qwn,random,0.2,0.30000000000000004,39,33,0.8461538461538461,0.7027023013426569,0.9275262615494854
0.2,qwn,random,0.30000000000000004,0.4,93,67,0.7204301075268817,0.6218738745625855,0.8014978995510186
0.2,qwn,random,0.4,0.5,226,139,0.6150442477876106,0.5501848056885756,0.6760579632444634
0.2,qwn,random,0.5,0.6000000000000001,337,225,0.6676557863501483,0.6157212355205328,0.7158110657009142
0.2,qwn,random,0.6000000000000001,0.7000000000000001,180,140,0.7777777777777778,0.7115961997536944,0.832350328126829
0.2,qwn,random,0.7000000000000001,0.8,162,147,0.9074074074074074,0.8528557421587767,0.9430844803185753
0.2,qwn,random,0.8,0.9,100,94,0.94,0.8752303146877748,0.9722142547333433
0.2,qwn,random,0.9,1.0,80,80,1.0,0.954180263735425,1.0
0.2,qwn,square,0.0,0.1,5,1,0.2,0.03622316096978745,0.6244717358814613
0.2,qwn,square,0.1,0.2,4,4,1.0,0.5100999795960008,1.0
0.2,qwn,square,0.2,0.30000000000000004,5,5,1.0,0.5655085052479191,1.0000000000000002
0.2,qwn,square,0.30000000000000004,0.4,10,6,0.6,0.3126695474501864,0.8318224187964902
0.2,qwn,square,0.4,0.5,25,14,0.56,0.37067017019564436,0.7333462505299744
0.2,qwn,square,0.5,0.6000000000000001,47,29,0.6170212765957447,0.47426308443976317,0.7420951733648692
0.2,qwn,square,0.6000000000000001,0.7000000000000001,25,20,0.8,0.6086866446346177,0.9113954589934752
0.2,qwn,square,0.7000000000000001,0.8,18,17,0.9444444444444444,0.7424220019799247,0.9901250641690756
0.2,qwn,square,0.8,0.9,11,10,0.9090909090909091,0.6226353745137962,0.9837682477371741
0.2,qwn,square,0.9,1.0,10,10,1.0,0.7224598312333834,1.0
0.2,qwn,triangular,0.0,0.1,4,1,0.25,0.045586062644636216,0.6993639475573634
0.2,qwn,triangular,0.1,0.2,5,4,0.8,0.3755282641185388,0.9637768390302125
0.2,qwn,triangular,0.2,0.30000000000000004,7,6,0.8571428571428571,0.48686549668097007,0.9743210440510253
0.2,qwn,triangular,0.30000000000000004,0.4,10,8,0.8,0.49015684672072335,0.9433190520193067
0.2,qwn,triangular,0.4,0.5,26,17,0.6538461538461539,0.46220229009632996,0.8058798502714787
0.2,qwn,triangular,0.5,0.6000000000000001,45,33,0.7333333333333333,0.5896088330282471,0.8403525113994538
0.2,qwn,triangular,0.6000000000000001,0.7000000000000001,17,16,0.9411764705882353,0.730174547964372,0.9895398693548358
0.2,qwn,triangular,0.7000000000000001,0.8,21,18,0.8571428571428571,0.6536350585077049,0.950190782017865
0.2,qwn,triangular,0.8,0.9,16,15,0.9375,0.7167073163197013,0.9888809426916687
0.2,qwn,triangular,0.9,1.0,9,9,1.0,0.7008472464490407,1.0
0.2,lma,random,0.0,0.1,147,12,0.08163265306122448,0.0473118318079133,0.137263245624307
0.2,lma,random,0.1,0.2,191,17,0.08900523560209424,0.05631222614360499,0.13790502520312997
0.2,lma,random,0.2,0.30000000000000004,122,18,0.14754098360655737,0.09540970329114055,0.22119148423349355
0.2,lma,random,0.30000000000000004,0.4,134,32,0.23880597014925373,0.1745376602551366,0.31763306324197893
0.2,lma,random,0.4,0.5,147,63,0.42857142857142855,0.35139488804486924,0.5093862227362416
0.2,lma,random,0.5,0.6000000000000001,156,90,0.5769230769230769,0.49846065340845086,0.6516879937522382
0.2,lma,random,0.6000000000000001,0.7000000000000001,115,82,0.7130434782608696,0.6245381226129869,0.7877754106952148
0.2,lma,random,0.7000000000000001,0.8,84,73,0.8690476190476191,0.7805373686566762,0.9252785545505514
0.2,lma,random,0.8,0.9,46,43,0.9347826086956522,0.8249699089621865,0.9775725455336564
0.2,lma,random,0.9,1.0,138,138,1.0,0.9729162671599869,1.0
0.2,lma,square,0.0,0.1,21,1,0.047619047619047616,0.008455769471923294,0.22669816586235464
0.2,lma,square,0.1,0.2,17,1,0.058823529411764705,0.01046013064516424,0.269825452035628
0.2,lma,square,0.2,0.30000000000000004,17,0,0.0,0.0,0.18432366037156456
0.2,lma,square,0.30000000000000004,0.4,19,6,0.3157894736842105,0.15364171004428598,0.5398998982493537
0.2,lma,square,0.4,0.5,17,2,0.11764705882352941,0.03287908001292092,0.3433684249770991
0.2,lma,square,0.5,0.6000000000000001,20,9,0.45,0.25819502085709295,0.6579179916924003
0.2,lma,square,0.6000000000000001,0.7000000000000001,17,14,0.8235294117647058,0.5897007098262422,0.9380898628745101
0.2,lma,square,0.7000000000000001,0.8,11,10,0.9090909090909091,0.6226353745137962,0.9837682477371741
0.2,lma,square,0.8,0.9,4,4,1.0,0.5100999795960008,1.0
0.2,lma,square,0.9,1.0,17,17,1.0,0.8156763396284354,1.0
0.2,lma,triangular,0.0,0.1,22,2,0.09090909090909091,0.025294896282837792,0.2781538065838578
0.2,lma,triangular,0.1,0.2,20,1,0.05,0.008881219432873136,0.23613589351256675
0.2,lma,triangular,0.2,0.30000000000000004,16,0,0.0,0.0,0.19361341827271994
0.2,lma,triangular,0.30000000000000004,0.4,18,3,0.16666666666666666,0.05836470400465757,0.39222499638359243
0.2,lma,triangular,0.4,0.5,15,8,0.5333333333333333,0.3011663015105079,0.7519077474025355
0.2,lma,triangular,0.5,0.6000000000000001,22,17,0.7727272727272727,0.5655964393704065,0.8987710920517964
0.2,lma,triangular,0.6000000000000001,0.7000000000000001,17,11,0.6470588235294118,0.4129996672121182,0.826905138560951
0.2,lma,triangular,0.7000000000000001,0.8,8,6,0.75,0.40926987910258916,0.9285223111419724
0.2,lma,triangular,0.8,0.9,5,5,1.0,0.5655085052479191,1.0000000000000002
0.2,lma,triangular,0.9,1.0,17,17,1.0,0.8156763396284354,1.0
