dataset,claim_id,k,n,rank_3col,A_k,B_k,max_abs_gap_legacy_vs_identified
stage2c,590,8,120,2,-27.028225754122744,6.583775403018455,0.15312257597714707
stage2c,656,2,72,2,-12.653387692081637,25.70703803689218,3.196699953351202e-06
stage2c,656,5,144,2,-8.714207212104004,5.56169068621393,0.008495656443545552
stage2c,656,8,120,2,-6.461685614403802,2.4135910965610976,0.08030878550919285
stage2c,832,2,72,2,-13.099013206983322,14.197621611989629,0.09990124076215134
stage2c,832,5,144,2,-6.838302790456331,3.047895605779794,0.22762942769879635
stage2c,832,8,120,2,-25.73393800369135,6.60677062775527,0.17538319814162562
stage2c,889,2,72,2,-3.1442660227482278,5.551343013891929,0.3302117391148278
stage2c,889,5,144,2,-0.6588924968111137,2.1347475234830866,0.3446999148087781
stage2c,889,8,120,2,-0.3811164783314689,1.2660820752756183,0.3325302316071021
stage2c,1013,2,72,2,-13.858498511354318,13.691450609062485,0.031842456771052796
stage2c,1013,5,144,2,-9.049075384298234,4.142445996957932,0.05770959184126717
stage2c,1013,8,120,2,-25.733938003665227,6.606770627748739,0.04718754262327929
stage2c,1146,2,72,2,-12.934831031620808,16.070291938497917,0.08309605761065497
stage2c,1146,5,144,2,-5.321481225430494,3.915878552143947,0.06440742224046975
stage2c,1146,8,120,2,-14.988691814758038,7.14777721573769,0.14919511689867077
stage2c,1151,2,72,2,-14.294541478278814,13.7837256349872,0.1302233853603159
stage2c,1151,5,144,2,-3.9094228026020583,1.8067402206340857,0.1818424123935514
stage2c,1151,8,120,2,-4.380756417624199,1.346767397930405,0.18501112460512636
stage2c,1155,2,72,2,-3.137513780056625,6.277077163880044,0.10991957670551122
stage2c,1155,5,144,2,-5.549497837451944,4.40652331126958,0.11363481372948614
stage2c,1155,8,120,2,-13.674776569014824,7.183962496297593,0.25849366881550917
stage2c,1531,2,72,2,-2.39787527883169,15.930082121597811,0.08322561721356594
stage2c,1531,5,144,2,-3.2423484181067956,4.384517935296896,0.07595052831849836
stage2c,1531,8,120,2,-13.451388900938504,7.924640081323262,0.05860051435030611
stage2c,1919,2,72,2,3.135510183154258,10.786639214264758,0.4091454530924854
stage2c,1919,5,144,2,1.945917717590058,11.879683795988441,0.04671551741561897
stage2c,1919,8,120,2,0.6931482641702749,7.16556607387251,0.30225700708841174
stage2c,2091,2,72,2,-13.22261114815758,13.915757181075945,0.012060739648521501
stage2c,2091,5,144,2,-3.8121620569040386,2.1304376349889895,0.04043101633074142
stage2c,2091,8,120,2,-5.365126177158013,1.5639264610032648,0.06008403918475963
stage2c,2093,2,72,2,-2.39787527883169,15.93008212159781,0.08306864990543913
stage2c,2093,5,144,2,-4.059635674079833,3.390578140652875,0.18322914167099785
stage2c,2093,8,120,2,-14.988691814790965,7.147777215754153,0.10147587923494589
stage2c,2260,2,72,2,-14.869450725210188,13.982161791243858,0.1254648594025088
stage2c,2260,5,144,2,-8.343958481392198,2.471978549322751,0.09169333946236868
stage2c,2260,8,120,2,-9.14505573450384,1.7650114683009828,0.07936533694007492
stage2c,2374,2,72,2,-14.869450725211145,13.982161791244815,0.1206359483289941
stage2c,2374,5,144,2,-7.307633541991148,2.27703713008939,0.08701238627934943
stage2c,2374,8,120,2,-11.314258189606976,2.2166843196409944,0.07754711242825152
stage2c,2643,2,72,2,-13.222611148179997,13.91575718109836,0.2418387521719194
stage2c,2643,5,144,2,-8.151804400707102,3.930877071295869,0.19280314434314103
stage2c,2643,8,120,2,-19.416667838068648,8.140631485763086,0.031181196959197716
stage2c,2656,2,72,2,-13.055178470943817,14.390174063141625,0.07365183868163216
stage2c,2656,5,144,2,-8.696689270759842,4.049631622781363,0.21142602070480337
stage2c,2656,8,120,2,-7.67412457199359,2.204419812081508,0.21155751582606724
stage2c,2782,2,72,2,-12.93483103162422,16.070291938501327,0.009208278108723711
stage2c,2782,5,144,2,-25.45046884832491,12.89347135854183,0.11121615725023193
stage2c,2782,8,120,2,-5.617774906118736,1.7662152102392468,0.29850333204431007
stage2c,2991,2,72,2,-13.222611148158066,13.91575718107643,0.0325749527218725
stage2c,2991,5,144,2,-7.9785174123109845,3.3705677812749055,0.009646881281003772
stage2c,2991,8,120,2,-7.818708279884492,2.2970145851075148,0.00947578486652123
stage2d,6,2,72,2,-12.653387692081637,25.70703803689218,3.1967001235994176e-06
stage2d,6,5,144,2,-6.297670050371237,3.74362919812466,0.032406619630521716
stage2d,6,8,120,2,-17.169059195180715,7.611588734287901,0.022996348268475436
stage2d,382,2,72,2,-12.653387692081637,25.70703803689218,3.15211410606464e-06
stage2d,382,5,144,2,-14.061075437652429,13.72461111158036,0.5829270882235413
