rule,arm,alpha,rho,x0_n,x0,n,obs_q,obs_wrong,obs_mean_x8,pred_q,pred_wrong,pred_mean_x8
legacy,A,0.3,1,12,0.375,16,0.0,0.9375,0.109375,0.4875,0.4353125,0.53939453125
legacy,A,0.3,1,16,0.5,16,0.0,0.9375,0.134765625,0.8509375,0.1153125,0.8379687499999999
legacy,A,0.3,1,20,0.625,16,0.0625,0.9375,0.16796875,0.9946875,0.0028125,0.959755859375
legacy,A,0.3,1,24,0.75,16,0.3125,0.625,0.404296875,1.0,0.0,0.96564453125
legacy,A,0.38,0,4,0.125,16,0.0,1.0,0.07421875,0.1034374999999999,0.826875,0.230263671875
legacy,A,0.38,0,8,0.25,16,0.0,0.9375,0.09375,0.2415624999999999,0.6799999999999999,0.34873046875
legacy,A,0.38,0,12,0.375,16,0.0,0.875,0.12890625,0.6053124999999999,0.3040625,0.6453417968749999
legacy,A,0.38,0,16,0.5,40,0.025,0.9,0.1453125,0.8949999999999999,0.068625,0.86946484375
legacy,A,0.38,0,20,0.625,40,0.15,0.8,0.24375,0.994875,0.002875,0.9525078125
legacy,A,0.38,0,24,0.75,40,0.35,0.525,0.45234375,1.0,0.0,0.958328125
legacy,A,0.45,0,4,0.125,40,0.0,0.975,0.09765625,0.181,0.70375,0.32221484375
legacy,A,0.45,0,8,0.25,40,0.0,0.85,0.1546875,0.386,0.489,0.48603515625
legacy,A,0.45,0,12,0.375,16,0.0,0.875,0.1640625,0.7175,0.194375,0.731328125
legacy,A,0.45,0,16,0.5,16,0.0,0.875,0.150390625,0.94125,0.0328125,0.8951953125
legacy,A,0.45,0,20,0.625,16,0.0,0.6875,0.203125,0.9925,0.00375,0.94361328125
legacy,A,0.45,0,24,0.75,40,0.45,0.475,0.48828125,0.9995,0.00025,0.95335546875
legacy,A,0.55,0,4,0.125,16,0.0,0.9375,0.134765625,0.2809374999999999,0.54375,0.4308593749999999
legacy,A,0.55,0,8,0.25,16,0.0,0.875,0.169921875,0.5346875,0.2996875,0.608427734375
legacy,A,0.55,0,12,0.375,16,0.0,0.875,0.18359375,0.794375,0.1121875,0.787802734375
legacy,A,0.55,0,16,0.5,40,0.1,0.725,0.21953125,0.94825,0.021875,0.8973710937499998
legacy,A,0.55,0,20,0.625,40,0.225,0.6,0.3171875,0.99475,0.001125,0.93840625
legacy,A,0.55,0,24,0.75,40,0.375,0.55,0.43203125,0.9995,0.0,0.94624609375
legacy,A,1.0,0,4,0.125,16,0.125,0.6875,0.255859375,0.8309374999999999,0.044375,0.7916796875
legacy,A,1.0,0,8,0.25,16,0.0625,0.8125,0.21484375,0.9125,0.0178125,0.8468554687500001
legacy,A,1.0,0,12,0.375,16,0.0625,0.625,0.296875,0.9803125,0.0025,0.90638671875
legacy,A,1.0,0,16,0.5,40,0.225,0.5,0.371875,0.99325,0.00075,0.9266171875
legacy,A,1.0,0,20,0.625,40,0.425,0.45,0.48671875,0.999125,0.0,0.9378046875
legacy,A,1.0,0,24,0.75,40,0.4,0.325,0.53671875,1.0,0.0,0.94233203125
legacy,B,0.6,0,4,0.125,20,0.0,1.0,0.028125,0.39325,0.396,0.5193984375
legacy,B,0.6,0,10,0.3125,20,0.05,0.95,0.0953125,0.721,0.15425,0.7352734375
legacy,B,0.6,0,16,0.5,20,0.0,0.9,0.103125,0.95775,0.0155,0.9004218749999999
legacy,B,0.6,0,22,0.6875,20,0.15,0.7,0.3140625,0.9985,0.00025,0.9396953125000002
legacy,B,0.6,0,28,0.875,20,0.65,0.3,0.665625,0.99975,0.0,0.9450234375
legacy,B,0.9,0,4,0.125,20,0.0,1.0,0.071875,0.76175,0.0815,0.7512968750000001
legacy,B,0.9,0,10,0.3125,20,0.0,1.0,0.0609375,0.93575,0.013,0.8677421875
legacy,B,0.9,0,16,0.5,20,0.05,0.95,0.15,0.9895,0.00125,0.92425
legacy,B,0.9,0,22,0.6875,20,0.2,0.55,0.3484375,0.99975,0.0,0.9400859375
legacy,B,0.9,0,28,0.875,20,0.65,0.3,0.640625,0.99975,0.0,0.94296875
legacy,B,1.3,0,4,0.125,20,0.0,0.95,0.0921875,0.946,0.006,0.8643671874999999
legacy,B,1.3,0,10,0.3125,20,0.0,1.0,0.096875,0.98625,0.001,0.911734375
legacy,B,1.3,0,16,0.5,20,0.05,0.75,0.215625,0.9985,0.00025,0.9338984375
legacy,B,1.3,0,22,0.6875,20,0.05,0.65,0.3125,1.0,0.0,0.9426015624999998
legacy,B,1.3,0,28,0.875,20,0.6,0.3,0.5515625,1.0,0.0,0.9448359375
blind_pooled,A,0.2,0,4,0.125,16,0.0,1.0,0.0625,0.0,1.0,0.00912109375
blind_pooled,A,0.2,0,8,0.25,40,0.025,0.975,0.071875,0.0,1.0,0.0100703125
blind_pooled,A,0.2,0,12,0.375,16,0.0,1.0,0.064453125,0.009687500000000002,0.99,0.01845703125
blind_pooled,A,0.2,0,16,0.5,16,0.0,1.0,0.068359375,0.49125,0.49624999999999997,0.49904296875
blind_pooled,A,0.2,0,20,0.625,40,0.1,0.9,0.16328125,0.98525,0.013624999999999998,0.97640234375
blind_pooled,A,0.2,0,24,0.75,40,0.275,0.725,0.32421875,1.0,0.0,0.9905625
blind_pooled,A,0.3,0,4,0.125,40,0.0,0.975,0.08984375,0.0,0.999625,0.04325
blind_pooled,A,0.3,0,8,0.25,16,0.0,0.9375,0.08984375,0.005625000000000001,0.9915625,0.046005859375
blind_pooled,A,0.3,0,12,0.375,16,0.0,1.0,0.091796875,0.1134375,0.859375,0.162998046875
blind_pooled,A,0.3,0,16,0.5,16,0.0,0.875,0.123046875,0.67875,0.2859375,0.68826171875
blind_pooled,A,0.3,0,20,0.625,40,0.075,0.725,0.21953125,0.9870000000000001,0.010125,0.9629335937499999
blind_pooled,A,0.3,0,24,0.75,40,0.4,0.525,0.47109375,0.9998750000000001,0.0,0.9745156250000001
blind_pooled,A,0.3,1,4,0.125,16,0.0,1.0,0.07421875,0.0,1.0,0.041523437499999996
blind_pooled,A,0.3,1,8,0.25,16,0.0,1.0,0.083984375,0.0034374999999999996,0.9962500000000001,0.043554687499999994
