rule,arm,alpha,rho,x0_n,x0,n,obs_q,obs_wrong,obs_mean_x8,pred_q,pred_wrong,pred_mean_x8
blind_pooled,A,0.45,0,24,0.75,40,0.45,0.475,0.48828125,0.9995,0.000125,0.93675
blind_pooled,A,0.55,0,4,0.125,16,0.0,0.9375,0.134765625,0.37875,0.32125000000000004,0.52591796875
blind_pooled,A,0.55,0,8,0.25,16,0.0,0.875,0.169921875,0.610625,0.17031249999999998,0.6528125
blind_pooled,A,0.55,0,12,0.375,16,0.0,0.875,0.18359375,0.8321875,0.0534375,0.7791015625
blind_pooled,A,0.55,0,16,0.5,40,0.1,0.725,0.21953125,0.9565000000000001,0.009375,0.8604609375000001
blind_pooled,A,0.55,0,20,0.625,40,0.225,0.6,0.3171875,0.9901250000000001,0.0018750000000000004,0.8930703125000001
blind_pooled,A,0.55,0,24,0.75,40,0.375,0.55,0.43203125,0.997625,0.0,0.90711328125
blind_pooled,A,1.0,0,4,0.125,16,0.125,0.6875,0.255859375,0.9315625000000001,0.0021875,0.764833984375
blind_pooled,A,1.0,0,8,0.25,16,0.0625,0.8125,0.21484375,0.9325,0.0003125,0.771279296875
blind_pooled,A,1.0,0,12,0.375,16,0.0625,0.625,0.296875,0.9553124999999999,0.0,0.7791015625
blind_pooled,A,1.0,0,16,0.5,40,0.225,0.5,0.371875,0.95875,0.000125,0.7875351562499999
blind_pooled,A,1.0,0,20,0.625,40,0.425,0.45,0.48671875,0.967625,0.000125,0.79296875
blind_pooled,A,1.0,0,24,0.75,40,0.4,0.325,0.53671875,0.970125,0.0,0.797609375
blind_pooled,B,0.6,0,4,0.125,20,0.0,1.0,0.028125,0.09025000000000001,0.611,0.360796875
blind_pooled,B,0.6,0,10,0.3125,20,0.05,0.95,0.0953125,0.26975,0.35849999999999993,0.47764062499999993
blind_pooled,B,0.6,0,16,0.5,20,0.0,0.9,0.103125,0.57775,0.1385,0.6246953125000001
blind_pooled,B,0.6,0,22,0.6875,20,0.15,0.7,0.3140625,0.8342499999999999,0.027750000000000004,0.7447890625
blind_pooled,B,0.6,0,28,0.875,20,0.65,0.3,0.665625,0.938,0.0052499999999999995,0.79940625
blind_pooled,B,0.9,0,4,0.125,20,0.0,1.0,0.071875,0.2655,0.22225,0.51021875
blind_pooled,B,0.9,0,10,0.3125,20,0.0,1.0,0.0609375,0.3955,0.14725,0.5589999999999999
blind_pooled,B,0.9,0,16,0.5,20,0.05,0.95,0.15,0.53475,0.07175000000000001,0.6144531249999999
blind_pooled,B,0.9,0,22,0.6875,20,0.2,0.55,0.3484375,0.6925,0.032,0.669296875
blind_pooled,B,0.9,0,28,0.875,20,0.65,0.3,0.640625,0.7887500000000001,0.012500000000000002,0.7012421875
blind_pooled,B,1.3,0,4,0.125,20,0.0,0.95,0.0921875,0.33299999999999996,0.10600000000000001,0.5513359375
blind_pooled,B,1.3,0,10,0.3125,20,0.0,1.0,0.096875,0.40474999999999994,0.07549999999999998,0.5753828124999999
blind_pooled,B,1.3,0,16,0.5,20,0.05,0.75,0.215625,0.5037499999999999,0.04725,0.606
blind_pooled,B,1.3,0,22,0.6875,20,0.05,0.65,0.3125,0.5772499999999999,0.03250000000000001,0.625328125
blind_pooled,B,1.3,0,28,0.875,20,0.6,0.3,0.5515625,0.64025,0.019,0.6478125
