name,alpha,x0_n,rho,claim_id,q_roll,wrong_roll
B1_armA_a0.38_x12_r09,0.38,12,0,1569,0.975,0.015
B1_armA_a0.38_x12_r10,0.38,12,0,382,0.495,0.435
B1_armA_a0.38_x12_r11,0.38,12,0,2070,0.585,0.305
B1_armA_a0.38_x12_r12,0.38,12,0,1569,0.99,0.005
B1_armA_a0.38_x12_r13,0.38,12,0,382,0.505,0.34
B1_armA_a0.38_x12_r14,0.38,12,0,2070,0.545,0.37
B1_armA_a0.38_x12_r15,0.38,12,0,6,0.61,0.285
B1_armA_a0.38_x16_r00,0.38,16,0,6,0.815,0.115
B1_armA_a0.38_x16_r01,0.38,16,0,2070,0.815,0.12
B1_armA_a0.38_x16_r02,0.38,16,0,1569,1.0,0.0
B1_armA_a0.38_x16_r03,0.38,16,0,382,0.865,0.085
B1_armA_a0.38_x16_r04,0.38,16,0,2070,0.905,0.045
B1_armA_a0.38_x16_r05,0.38,16,0,1569,1.0,0.0
B1_armA_a0.38_x16_r06,0.38,16,0,382,0.795,0.135
B1_armA_a0.38_x16_r07,0.38,16,0,6,0.895,0.06
B1_armA_a0.38_x16_r08,0.38,16,0,6,0.98,0.015
B1_armA_a0.38_x16_r09,0.38,16,0,1569,1.0,0.0
B1_armA_a0.38_x16_r10,0.38,16,0,382,0.89,0.055
B1_armA_a0.38_x16_r11,0.38,16,0,2070,0.805,0.135
B1_armA_a0.38_x16_r12,0.38,16,0,2070,0.95,0.035
B1_armA_a0.38_x16_r13,0.38,16,0,382,0.855,0.09
B1_armA_a0.38_x16_r14,0.38,16,0,1569,1.0,0.0
B1_armA_a0.38_x16_r15,0.38,16,0,6,0.925,0.045
B1_armA_a0.38_x20_r00,0.38,20,0,1569,1.0,0.0
B1_armA_a0.38_x20_r01,0.38,20,0,382,1.0,0.0
B1_armA_a0.38_x20_r02,0.38,20,0,6,0.995,0.0
B1_armA_a0.38_x20_r03,0.38,20,0,2070,0.99,0.005
B1_armA_a0.38_x20_r04,0.38,20,0,6,0.995,0.0
B1_armA_a0.38_x20_r05,0.38,20,0,2070,0.97,0.025
B1_armA_a0.38_x20_r06,0.38,20,0,382,0.985,0.01
B1_armA_a0.38_x20_r07,0.38,20,0,1569,1.0,0.0
