claim_id,alpha,x0_n,rep,x8,n_parse_fail,set
90382,0.3,20,1,1.0,0,A2
90382,0.3,20,2,1.0,0,A2
90382,0.3,20,3,1.0,0,A2
90382,0.3,20,4,1.0,0,A2
90382,0.3,20,5,1.0,0,A2
90382,0.3,20,6,1.0,0,A2
90382,0.3,20,7,1.0,0,A2
90382,0.3,20,8,1.0,0,A2
90382,0.3,20,9,1.0,0,A2
90382,0.3,20,10,1.0,0,A2
90382,0.3,20,11,1.0,0,A2
90382,0.3,28,0,1.0,0,A2
90382,0.3,28,1,1.0,0,A2
90382,0.3,28,2,1.0,0,A2
90382,0.3,28,3,1.0,0,A2
90382,0.3,28,4,1.0,0,A2
90382,0.3,28,5,1.0,0,A2
90382,0.3,28,6,1.0,0,A2
90382,0.3,28,7,1.0,0,A2
90382,0.3,28,8,1.0,0,A2
90382,0.3,28,9,1.0,0,A2
90382,0.3,28,10,1.0,0,A2
90382,0.3,28,11,1.0,0,A2
91569,0.3,4,0,1.0,0,A2
91569,0.3,4,1,1.0,0,A2
91569,0.3,4,2,1.0,0,A2
91569,0.3,4,3,1.0,0,A2
91569,0.3,4,4,1.0,0,A2
91569,0.3,4,5,1.0,0,A2
91569,0.3,4,6,1.0,0,A2
91569,0.3,4,7,1.0,0,A2
91569,0.3,4,8,1.0,0,A2
91569,0.3,4,9,1.0,0,A2
91569,0.3,4,10,1.0,0,A2
91569,0.3,4,11,1.0,0,A2
91569,0.3,12,0,1.0,0,A2
91569,0.3,12,1,1.0,0,A2
91569,0.3,12,2,1.0,0,A2
91569,0.3,12,3,1.0,0,A2
91569,0.3,12,4,1.0,0,A2
91569,0.3,12,5,1.0,0,A2
91569,0.3,12,6,1.0,0,A2
91569,0.3,12,7,1.0,0,A2
91569,0.3,12,8,1.0,0,A2
91569,0.3,12,9,1.0,0,A2
91569,0.3,12,10,1.0,0,A2
91569,0.3,12,11,1.0,0,A2
91569,0.3,20,0,1.0,0,A2
91569,0.3,20,1,1.0,0,A2
91569,0.3,20,2,1.0,0,A2
91569,0.3,20,3,1.0,0,A2
91569,0.3,20,4,1.0,0,A2
91569,0.3,20,5,1.0,0,A2
91569,0.3,20,6,1.0,0,A2
91569,0.3,20,7,1.0,0,A2
91569,0.3,20,8,1.0,0,A2
91569,0.3,20,9,1.0,0,A2
91569,0.3,20,10,1.0,0,A2
91569,0.3,20,11,1.0,0,A2
91569,0.3,28,0,1.0,0,A2
91569,0.3,28,1,1.0,0,A2
91569,0.3,28,2,1.0,0,A2
91569,0.3,28,3,1.0,0,A2
91569,0.3,28,4,1.0,0,A2
91569,0.3,28,5,1.0,0,A2
91569,0.3,28,6,1.0,0,A2
91569,0.3,28,7,1.0,0,A2
91569,0.3,28,8,1.0,0,A2
91569,0.3,28,9,1.0,0,A2
91569,0.3,28,10,1.0,0,A2
91569,0.3,28,11,1.0,0,A2
92070,0.3,4,0,1.0,0,A2
92070,0.3,4,1,1.0,0,A2
92070,0.3,4,2,1.0,0,A2
92070,0.3,4,3,1.0,0,A2
92070,0.3,4,4,1.0,0,A2
92070,0.3,4,5,1.0,0,A2
92070,0.3,4,6,1.0,0,A2
92070,0.3,4,7,1.0,0,A2
92070,0.3,4,8,1.0,0,A2
92070,0.3,4,9,1.0,0,A2
92070,0.3,4,10,1.0,0,A2
92070,0.3,4,11,1.0,0,A2
92070,0.3,12,0,1.0,0,A2
92070,0.3,12,1,1.0,0,A2
92070,0.3,12,2,1.0,0,A2
92070,0.3,12,3,1.0,0,A2
92070,0.3,12,4,1.0,0,A2
92070,0.3,12,5,1.0,0,A2
92070,0.3,12,6,1.0,0,A2
92070,0.3,12,7,1.0,0,A2
92070,0.3,12,8,1.0,0,A2
92070,0.3,12,9,1.0,0,A2
92070,0.3,12,10,1.0,0,A2
92070,0.3,12,11,1.0,0,A2
92070,0.3,20,0,1.0,0,A2
92070,0.3,20,1,1.0,0,A2
92070,0.3,20,2,1.0,0,A2
92070,0.3,20,3,1.0,0,A2
92070,0.3,20,4,1.0,0,A2
92070,0.3,20,5,1.0,0,A2
92070,0.3,20,6,1.0,0,A2
92070,0.3,20,7,1.0,0,A2
92070,0.3,20,8,1.0,0,A2
92070,0.3,20,9,1.0,0,A2
92070,0.3,20,10,1.0,0,A2
92070,0.3,20,11,1.0,0,A2
92070,0.3,28,0,1.0,0,A2
92070,0.3,28,1,1.0,0,A2
92070,0.3,28,2,1.0,0,A2
92070,0.3,28,3,1.0,0,A2
92070,0.3,28,4,1.0,0,A2
92070,0.3,28,5,1.0,0,A2
92070,0.3,28,6,1.0,0,A2
92070,0.3,28,7,1.0,0,A2
92070,0.3,28,8,1.0,0,A2
92070,0.3,28,9,1.0,0,A2
92070,0.3,28,10,1.0,0,A2
92070,0.3,28,11,1.0,0,A2
