model,alpha,Ek,x,stability,h,beta
gma,0.15,11.79004296848671,0.49406149476998784,unstable,0.10299999999999998,1.123
gma,0.15,11.79004296848671,0.999996726740745,stable,0.10299999999999998,1.123
gma,0.2,10.119499085585277,2.0714545249208602e-05,stable,0.10299999999999998,1.123
gma,0.2,10.119499085585277,0.4927582615823778,unstable,0.10299999999999998,1.123
gma,0.2,10.119499085585277,0.9999831460539954,stable,0.10299999999999998,1.123
gma,0.25,8.927251374086925,6.705177852719794e-05,stable,0.10299999999999998,1.123
gma,0.25,8.927251374086925,0.49143158595103165,unstable,0.10299999999999998,1.123
gma,0.25,8.927251374086925,0.9999454713123166,stable,0.10299999999999998,1.123
gma,0.3,8.026130444333326,0.0001639198632518654,stable,0.10299999999999998,1.123
gma,0.3,8.026130444333326,0.49007002392030174,unstable,0.10299999999999998,1.123
gma,0.3,8.026130444333326,0.99986681710779,stable,0.10299999999999998,1.123
gma,0.35,7.31705197051372,0.00033336967534556455,stable,0.10299999999999998,1.123
gma,0.35,7.31705197051372,0.4886646295665509,unstable,0.10299999999999998,1.123
gma,0.35,7.31705197051372,0.9997295356130598,stable,0.10299999999999998,1.123
gma,0.4,6.742142529434745,0.0005967331184096416,stable,0.10299999999999998,1.123
gma,0.4,6.742142529434745,0.48720796162478797,unstable,0.10299999999999998,1.123
gma,0.4,6.742142529434745,0.9995168717653395,stable,0.10299999999999998,1.123
gma,0.45,6.265105451174446,0.0009739424753107523,stable,0.10299999999999998,1.123
gma,0.45,6.265105451174446,0.48569296221370895,unstable,0.10299999999999998,1.123
gma,0.45,6.265105451174446,0.9992136350552085,stable,0.10299999999999998,1.123
gma,0.5,5.8619109397447335,0.0014835928086430528,stable,0.10299999999999998,1.123
gma,0.5,5.8619109397447335,0.48411224744118675,unstable,0.10299999999999998,1.123
gma,0.5,5.8619109397447335,0.9988062493241237,stable,0.10299999999999998,1.123
gma,0.55,5.515958159886482,0.0021433572129523756,stable,0.10299999999999998,1.123
gma,0.55,5.515958159886482,0.48245830805042256,unstable,0.10299999999999998,1.123
gma,0.55,5.515958159886482,0.998282496840075,stable,0.10299999999999998,1.123
gma,0.6,5.215377221626895,0.0029705701826799246,stable,0.10299999999999998,1.123
gma,0.6,5.215377221626895,0.4807236615829362,unstable,0.10299999999999998,1.123
gma,0.6,5.215377221626895,0.9976311148441319,stable,0.10299999999999998,1.123
gma,0.65,4.951435933650238,0.003982823752422038,stable,0.10299999999999998,1.123
gma,0.65,4.951435933650238,0.4789005885466766,unstable,0.10299999999999998,1.123
gma,0.65,4.951435933650238,0.9968413847371491,stable,0.10299999999999998,1.123
gma,0.7,4.717552125575771,0.005198341747417692,stable,0.10299999999999998,1.123
gma,0.7,4.717552125575771,0.4769806767736997,unstable,0.10299999999999998,1.123
gma,0.7,4.717552125575771,0.9959029145542568,stable,0.10299999999999998,1.123
gma,0.75,4.508658521018562,0.00663601573480079,stable,0.10299999999999998,1.123
gma,0.75,4.508658521018562,0.4749544236737009,unstable,0.10299999999999998,1.123
gma,0.75,4.508658521018562,0.9948057056222683,stable,0.10299999999999998,1.123
gma,0.8,4.3207859278794105,0.008315289480687993,stable,0.10299999999999998,1.123
gma,0.8,4.3207859278794105,0.47281101661303726,unstable,0.10299999999999998,1.123
gma,0.8,4.3207859278794105,0.9935403404352754,stable,0.10299999999999998,1.123
gma,0.85,4.150784957425504,0.01025626421663858,stable,0.10299999999999998,1.123
gma,0.85,4.150784957425504,0.47053828251364105,unstable,0.10299999999999998,1.123
gma,0.85,4.150784957425504,0.9920979900253033,stable,0.10299999999999998,1.123
gma,0.9,3.996132352265777,0.012480300376093583,stable,0.10299999999999998,1.123
gma,0.9,3.996132352265777,0.46812268010791325,unstable,0.10299999999999998,1.123
gma,0.9,3.996132352265777,0.9904700432425797,stable,0.10299999999999998,1.123
gma,0.95,3.8547861661368987,0.015011123253359994,stable,0.10299999999999998,1.123
gma,0.95,3.8547861661368987,0.4655491460359973,unstable,0.10299999999999998,1.123
gma,0.95,3.8547861661368987,0.9886473998888905,stable,0.10299999999999998,1.123
gma,1.0,3.7250704942696817,0.017876204846299648,stable,0.10299999999999998,1.123
gma,1.0,3.7250704942696817,0.4628006354000638,unstable,0.10299999999999998,1.123
gma,1.0,3.7250704942696817,0.9866196654286874,stable,0.10299999999999998,1.123
gma,1.05,3.6055829386563936,0.021108111928074776,stable,0.10299999999999998,1.123
