[181/288] S2b_A1_supports_c993_a0.55_x04_r07 366s ETA 3.9h
[182/288] S2b_A1_supports_c1103_a0.55_x04_r07 363s ETA 3.9h
[183/288] S2b_A1_supports_c1239_a0.55_x04_r07 361s ETA 3.8h
[184/288] S2b_A1_supports_c993_a0.55_x12_r07 363s ETA 3.8h
[185/288] S2b_A1_supports_c1103_a0.55_x12_r07 363s ETA 3.8h
[186/288] S2b_A1_supports_c1239_a0.55_x12_r07 362s ETA 3.7h
[187/288] S2b_A1_supports_c993_a0.55_x20_r07 361s ETA 3.7h
[188/288] S2b_A1_supports_c1103_a0.55_x20_r07 361s ETA 3.6h
[189/288] S2b_A1_supports_c1239_a0.55_x20_r07 361s ETA 3.6h
[190/288] S2b_A1_supports_c993_a0.55_x28_r07 355s ETA 3.6h
[191/288] S2b_A1_supports_c1103_a0.55_x28_r07 356s ETA 3.5h
[192/288] S2b_A1_supports_c1239_a0.55_x28_r07 356s ETA 3.5h
[193/288] S2b_A1_supports_c993_a0.30_x04_r08 414s ETA 3.5h
[194/288] S2b_A1_supports_c1103_a0.30_x04_r08 416s ETA 3.4h
[195/288] S2b_A1_supports_c1239_a0.30_x04_r08 421s ETA 3.4h
[196/288] S2b_A1_supports_c993_a0.30_x12_r08 416s ETA 3.4h
[197/288] S2b_A1_supports_c1103_a0.30_x12_r08 416s ETA 3.3h
[198/288] S2b_A1_supports_c1239_a0.30_x12_r08 414s ETA 3.3h
[199/288] S2b_A1_supports_c993_a0.30_x20_r08 413s ETA 3.3h
[200/288] S2b_A1_supports_c1103_a0.30_x20_r08 414s ETA 3.2h
[201/288] S2b_A1_supports_c1239_a0.30_x20_r08 414s ETA 3.2h
[202/288] S2b_A1_supports_c993_a0.30_x28_r08 413s ETA 3.2h
[203/288] S2b_A1_supports_c1103_a0.30_x28_r08 411s ETA 3.1h
[204/288] S2b_A1_supports_c1239_a0.30_x28_r08 413s ETA 3.1h
[205/288] S2b_A1_supports_c993_a0.55_x04_r08 361s ETA 3.0h
[206/288] S2b_A1_supports_c1103_a0.55_x04_r08 359s ETA 3.0h
[207/288] S2b_A1_supports_c1239_a0.55_x04_r08 357s ETA 2.9h
[208/288] S2b_A1_supports_c993_a0.55_x12_r08 361s ETA 2.9h
[209/288] S2b_A1_supports_c1103_a0.55_x12_r08 362s ETA 2.9h
[210/288] S2b_A1_supports_c1239_a0.55_x12_r08 361s ETA 2.8h
[211/288] S2b_A1_supports_c993_a0.55_x20_r08 361s ETA 2.8h
[212/288] S2b_A1_supports_c1103_a0.55_x20_r08 361s ETA 2.8h
[213/288] S2b_A1_supports_c1239_a0.55_x20_r08 361s ETA 2.7h
[214/288] S2b_A1_supports_c993_a0.55_x28_r08 362s ETA 2.7h
[215/288] S2b_A1_supports_c1103_a0.55_x28_r08 361s ETA 2.7h
